name,splitArticlesBefore,splitArticlesAfter,change,percChange,show,anomalies
Adélie_penguin,77,84,1,9.090909091,PE1,0
African_forest_elephant,137.5,154.5,1,12.36363636,PE1,0
African_wild_dog,523,713,1,36.32887189,PE1,0
Amur_leopard,280,276,0,-1.428571429,PE1,0
Arachnocampa,14,11,0,-21.42857143,PE1,0
Arctic_fox,338.5,399.5,1,18.02067947,PE1,0
Atyopsis,4,6,1,50,PE1,0
Bactrian_camel,262,303,1,15.64885496,PE1,0
Baikal_seal,59,66,1,11.86440678,PE1,0
Baikal_teal,10,12,1,20,PE1,0
Bat_hawk,10,13,1,30,PE1,0
Black_fly,296.5,307.5,1,3.70994941,PE1,0
Black_stork,27,34,1,25.92592593,PE1,0
Blood_pheasant,17,16.5,0,-2.941176471,PE1,0
Blue_whale,2187,3071,1,40.42066758,PE1,0
Bongo_(antelope),104,98,0,-5.769230769,PE1,0
Booby,198.5,181,0,-8.816120907,PE1,0
Bottlenose_dolphin,265.5,255,0,-3.95480226,PE1,0
Brown_fur_seal,21,22,1,4.761904762,PE1,0
Capuchin_monkey,326,302,0,-7.36196319,PE1,0
Carangidae,48,56,1,16.66666667,PE1,0
Cave_swiftlet,2,4,1,100,PE1,0
Chimpanzee,841,930,1,10.58263971,PE1,0
Chironomidae,97,102,1,5.154639175,PE1,0
Cichlid,339,341,1,0.589970501,PE1,0
Colugo,82,93,1,13.41463415,PE1,0
Cougar,1909.5,1763.5,0,-7.645980623,PE1,0
Demoiselle_crane,34,42,1,23.52941176,PE1,0
Dobsonfly,220,277,1,25.90909091,PE1,0
Dromedary,254.5,284,1,11.5913556,PE1,0
Dugong,726.5,676.5,0,-6.882312457,PE1,0
Dusky_dolphin,21.5,19,0,-11.62790698,PE1,0
Eider,41,43,1,4.87804878,PE1,0
Elephant_seal,328,326,0,-0.609756098,PE1,0
Ethiopian_wolf,186,222,1,19.35483871,PE1,0
Fennec_fox,751.5,570,0,-24.15169661,PE1,0
Frigatebird,170.5,178.5,1,4.692082111,PE1,0
Giant_panda,2664.5,2196.5,0,-17.56427097,PE1,0
Giant_salamander,71,58.5,0,-17.6056338,PE1,0
Gila_woodpecker,14,21,1,50,PE1,0
Golden_snub-nosed_monkey,58.5,66,1,12.82051282,PE1,0
Great_white_shark,2292,1987.5,0,-13.28534031,PE1,0
Green_sea_turtle,285,300.5,1,5.438596491,PE1,0
Grimpoteuthis,74,96,1,29.72972973,PE1,0
Ground_tit,1,2,1,100,PE1,0
Guanaco,194,201,1,3.608247423,PE1,0
Himalayan_monal,66,84,1,27.27272727,PE1,0
Howler_monkey,136,136,0,0,PE1,0
Humpback_whale,746.5,634,0,-15.0703282,PE1,0
Impala,338,261,0,-22.78106509,PE1,0
Isopoda,136.5,201.5,1,47.61904762,PE1,0
King_penguin,114,112,0,-1.754385965,PE1,0
Krill,302.5,342.5,1,13.2231405,PE1,0
Lagopus,57,68,1,19.29824561,PE1,0
Laticauda_colubrina,82,98.5,1,20.12195122,PE1,0
Lechwe,34,35,1,2.941176471,PE1,0
Lesser_florican,15,15,0,0,PE1,0
Little_auk,28,18,0,-35.71428571,PE1,0
Lophius,259,323,1,24.71042471,PE1,0
Mackerel_scad,17,20.5,1,20.58823529,PE1,0
Majoidea,8,15,1,87.5,PE1,0
Manta_ray,575,642.5,1,11.73913043,PE1,0
Markhor,181,226,1,24.86187845,PE1,0
Mongolian_gazelle,9,11,1,22.22222222,PE1,0
Mugger_crocodile,206,211.5,1,2.669902913,PE1,0
Musk_deer,204,194,0,-4.901960784,PE1,0
Muskox,284.5,338,1,18.80492091,PE1,0
Mussel,574,588.5,1,2.526132404,PE1,0
Nautilus,401,445,1,10.97256858,PE1,0
Nile_crocodile,432,469.5,1,8.680555556,PE1,0
Ocean_sunfish,865.5,1002,1,15.7712305,PE1,0
Opistognathidae,8,6,0,-25,PE1,0
Orangutan,1160.5,1127,0,-2.886686773,PE1,0
Pika,450.5,343,0,-23.86237514,PE1,0
Pilot_fish,81.5,71,0,-12.88343558,PE1,0
Platysaurus,2,2,0,0,PE1,0
Plover,172,151,0,-12.20930233,PE1,0
Polar_bear,1526,1605,1,5.176933159,PE1,0
Pygmy_hog,139.5,72,0,-48.38709677,PE1,0
Pygmy_seahorse,14,15,1,7.142857143,PE1,0
Rainbow_runner,26,29,1,11.53846154,PE1,0
Red-bellied_piranha,122,149.5,1,22.54098361,PE1,0
Red-billed_quelea,29,32,1,10.34482759,PE1,0
Red_kangaroo,230.5,220,0,-4.555314534,PE1,0
Red_panda,1605.5,1504,0,-6.322018063,PE1,0
Red_river_hog,35,46,1,31.42857143,PE1,0
Remipedia,17,18,1,5.882352941,PE1,0
Roseate_spoonbill,93.5,107.5,1,14.97326203,PE1,0
Rufous-bellied_eagle,1,4,1,300,PE1,0
Sailfish,227,202.5,0,-10.79295154,PE1,0
Salmon,1227,1140,0,-7.090464548,PE1,0
Salp,112,117,1,4.464285714,PE1,0
Sand_dollar,819.5,688,0,-16.04636974,PE1,0
Sand_shark,164,122,0,-25.6097561,PE1,0
Sandhill_crane,397.5,485.5,1,22.13836478,PE1,0
Sawtooth_eel,1,1,0,0,PE1,0
Sea_lion,468.5,461.5,0,-1.494130203,PE1,0
Sea_spider,108,126.5,1,17.12962963,PE1,0
Siamang,80,83,1,3.75,PE1,0
Snow_goose,87,93.5,1,7.471264368,PE1,0
Snow_petrel,23,23,0,0,PE1,0
Snowfinch,7,11,1,57.14285714,PE1,0
Socotra_cormorant,6,6,0,0,PE1,0
Squat_lobster,83.5,99,1,18.56287425,PE1,0
Squirrel_monkey,107.5,97.5,0,-9.302325581,PE1,0
Stingray,1077.5,988,0,-8.306264501,PE1,0
Sunflower_sea_star,0,15,1,Inf,PE1,0
Tamarin,75,64,0,-14.66666667,PE1,0
Texas_blind_salamander,18,13,0,-27.77777778,PE1,0
Tibetan_sand_fox,34,53.5,1,57.35294118,PE1,0
Tragopan,20,18,0,-10,PE1,0
Vampire_squid,157,164,1,4.458598726,PE1,0
Walia_ibex,21,23,1,9.523809524,PE1,0
Walrus,631.5,583.5,0,-7.600950119,PE1,0
Waterfall_climbing_cave_fish,4,4,0,0,PE1,0
Wattled_crane,7,8,1,14.28571429,PE1,0
Whale_shark,1349.5,1157.5,0,-14.22749166,PE1,0
Wild_yak,2,117,1,5750,PE1,0
Wood_stork,78,86.5,1,10.8974359,PE1,0
Yellow_goatfish,2,3,1,50,PE1,0
Yellowfin_tuna,340,350.5,1,3.088235294,PE1,0
African_buffalo,509,417.5,0,-17.97642436,PE2,0
Amitermes_meridionalis,1,5,1,400,PE2,1
Arctic_wolf,178,179,1,0.561797753,PE2,0
Atta_(genus),15,16,1,6.666666667,PE2,0
Bamboo_lemur,11,11,0,0,PE2,1
Barn_owl,439.5,440.5,1,0.227531286,PE2,0
Bison,913.5,738,0,-19.21182266,PE2,0
Bobcat,1439,1395,0,-3.057678944,PE2,1
Buller's_albatross,4,5,1,25,PE2,1
Butcherbird,61.5,85.5,1,39.02439024,PE2,1
Caiman,496,449.5,0,-9.375,PE2,0
Capybara,1632,1606.5,0,-1.5625,PE2,0
Caribou,394,425,1,7.868020305,PE2,1
Chinstrap_penguin,41,56.5,1,37.80487805,PE2,1
Christmas_Island_red_crab,77,95,1,23.37662338,PE2,0
Click_beetle,199,223,1,12.06030151,PE2,0
Colobinae,33,32,0,-3.03030303,PE2,0
Colubridae,103,130.5,1,26.69902913,PE2,1
Corvidae,213,271.5,1,27.46478873,PE2,0
Coyote,2055.5,2352.5,1,14.44903916,PE2,0
Crab,833.5,790.5,0,-5.158968206,PE2,0
Darkling_beetle,68,68.5,1,0.735294118,PE2,0
Deathstalker,175,199,1,13.71428571,PE2,0
Desert_long-eared_bat,1,4.5,1,350,PE2,1
Draco_(genus),58,81,1,39.65517241,PE2,1
Elephant,2836.5,2445.5,0,-13.78459369,PE2,0
Fairy_tern,6,8,1,33.33333333,PE2,1
Fire_ant,745,682,0,-8.456375839,PE2,0
Flamingo,886.5,954,1,7.614213198,PE2,1
Fox,1581.5,1642.5,1,3.857097692,PE2,0
Giant_anteater,139.5,156.5,1,12.18637993,PE2,1
Giant_otter,221,226,1,2.262443439,PE2,1
Giraffe,1631,1481.5,0,-9.166155733,PE2,0
Glass_frog,59,50,0,-15.25423729,PE2,0
Golden_eagle,955,915,0,-4.188481675,PE2,1
Golden_mole,26,47,1,80.76923077,PE2,1
Goldeneye_(duck),10,12,1,20,PE2,1
Great_bowerbird,4,5,1,25,PE2,1
Grizzly_bear,1295.5,1287,0,-0.656117329,PE2,0
Ground_squirrel,218,238,1,9.174311927,PE2,0
Harris's_hawk,140,146,1,4.285714286,PE2,1
Hawksbill_sea_turtle,142,144,1,1.408450704,PE2,0
Hummingbird,1751.5,1516.5,0,-13.41707108,PE2,0
Indri,36,53,1,47.22222222,PE2,1
Jackson's_widowbird,1,2,1,100,PE2,1
Jaguar,1832,1781,0,-2.783842795,PE2,0
Komodo_dragon,1919,1829.5,0,-4.663887441,PE2,1
Kori_bustard,100,103.5,1,3.5,PE2,1
Lagidium,4,6,1,50,PE2,1
Lemur,789.5,776,0,-1.709943002,PE2,0
Leopard,1499.5,1511,1,0.766922307,PE2,0
Lion,3375.5,3104,0,-8.043252851,PE2,0
Lizard,884,2251,1,154.638009,PE2,0
Locust,936,899.5,0,-3.89957265,PE2,1
Marine_iguana,116,126.5,1,9.051724138,PE2,0
Marmot,692,681.5,0,-1.51734104,PE2,0
Micromys,2,2,0,0,PE2,1
Millipede,715,682.5,0,-4.545454545,PE2,0
Mouse,560.5,620.5,1,10.70472792,PE2,0
Namaqua_chameleon,9,8,0,-11.11111111,PE2,0
Noddy_(tern),3,2,0,-33.33333333,PE2,0
Nubian_ibex,42,53,1,26.19047619,PE2,1
Oryx,216,236.5,1,9.490740741,PE2,0
Ostrich,1217,314.5,0,-74.157765,PE2,0
Pachydactylus_rangei,3,4,1,33.33333333,PE2,1
Pale_chanting_goshawk,4,5,1,25,PE2,1
Peregrine_falcon,1190,1123.5,0,-5.588235294,PE2,0
Pigeon,81.5,60,0,-26.3803681,PE2,0
Pygmy_three-toed_sloth,38,42.5,1,11.84210526,PE2,1
Raccoon,2284.5,2246.5,0,-1.663383673,PE2,0
Railroad_worm,13,21,1,61.53846154,PE2,1
Rat,915,792.5,0,-13.38797814,PE2,0
Red_bird-of-paradise,9,11,1,22.22222222,PE2,1
Red_fox,1006,1128,1,12.12723658,PE2,0
Rhesus_macaque,213,222,1,4.225352113,PE2,0
Rhinoceros,1290.5,1111.5,0,-13.87059279,PE2,0
Ring-tailed_lemur,202.5,213,1,5.185185185,PE2,0
River_dolphin,128,147,1,14.84375,PE2,1
Saiga_antelope,85,115,1,35.29411765,PE2,1
Sandgrouse,17,27,1,58.82352941,PE2,1
Serval,748,533.5,0,-28.67647059,PE2,0
Seychelles_fody,1,1,0,0,PE2,1
Shearwater,39,49,1,25.64102564,PE2,1
Sifaka,33,37,1,12.12121212,PE2,0
Skua,91,93,1,2.197802198,PE2,0
Sloth_bear,671.5,448.5,0,-33.20923306,PE2,1
Smooth-coated_otter,36,39.5,1,9.722222222,PE2,0
Snares_penguin,8,9,1,12.5,PE2,1
Snow_Leopard,22.5,22,0,-2.222222222,PE2,0
Southern_African_vlei_rat,0,1,1,Inf,PE2,0
Southern_carmine_bee-eater,5,7,1,40,PE2,1
Spider,1293,3522.5,1,172.4284609,PE2,0
Spider_monkey,269.5,271.5,1,0.742115028,PE2,1
Spotted_hyena,386.5,470,1,21.60413972,PE2,1
Squirrel,979.5,950.5,0,-2.960694232,PE2,0
Starling,291,300,1,3.092783505,PE2,0
Sword-billed_hummingbird,15,20,1,33.33333333,PE2,1
Termite,985.5,1029,1,4.414003044,PE2,0
Tiger,3756.5,3081,0,-17.98216425,PE2,0
Uroplatus,11,14,1,27.27272727,PE2,0
Vole,689.5,764,1,10.80493111,PE2,0
Wasp,1601,1521,0,-4.996876952,PE2,0
Wels_catfish,163,188,1,15.33742331,PE2,1
Wild_water_buffalo,162,174,1,7.407407407,PE2,0
Wildebeest,460.5,499,1,8.360477742,PE2,0
Wilson's_bird-of-paradise,11,21,1,90.90909091,PE2,1
Yellow_crazy_ant,60.5,81,1,33.88429752,PE2,1
Zebra,1100.5,1055,0,-4.134484325,PE2,0
